,MSA,Code,County_State
202,"311,""17140",39025,"Clermont County, OH"
203,"312,""17140",39061,"Hamilton County, OH"
204,"313,""17140",39165,"Warren County, OH"
205,"315,""17300",21047,"Christian County, KY"
206,"316,""17300",21221,"Trigg County, KY"
207,"317,""17300",47125,"Montgomery County, TN"
208,"318,""17300",47161,"Stewart County, TN"
209,"320,""17420",47011,"Bradley County, TN"
210,"321,""17420",47139,"Polk County, TN"
211,"323,""17460",39035,"Cuyahoga County, OH"
212,"324,""17460",39055,"Geauga County, OH"
213,"325,""17460",39085,"Lake County, OH"
214,"326,""17460",39093,"Lorain County, OH"
215,"327,""17460",39103,"Medina County, OH"
216,"329,""17660",16055,"Kootenai County, ID"
217,"331,""17780",48041,"Brazos County, TX"
218,"332,""17780",48051,"Burleson County, TX"
219,"333,""17780",48395,"Robertson County, TX"
220,"336,""17820",08119,"Teller County, CO"
221,"338,""17860",29019,"Boone County, MO"
222,"339,""17860",29089,"Howard County, MO"
223,"341,""17900",45017,"Calhoun County, SC"
224,"342,""17900",45039,"Fairfield County, SC"
225,"343,""17900",45055,"Kershaw County, SC"
226,"344,""17900",45063,"Lexington County, SC"
227,"345,""17900",45079,"Richland County, SC"
228,"346,""17900",45081,"Saluda County, SC"
229,"348,""17980",01113,"Russell County, AL"
230,"349,""17980",13053,"Chattahoochee County, GA"
231,"350,""17980",13145,"Harris County, GA"
232,"351,""17980",13197,"Marion County, GA"
233,"352,""17980",13215,"Muscogee County, GA"
234,"354,""18020",18005,"Bartholomew County, IN"
235,"356,""18140",39041,"Delaware County, OH"
236,"357,""18140",39045,"Fairfield County, OH"
237,"358,""18140",39049,"Franklin County, OH"
238,"359,""18140",39089,"Licking County, OH"
239,"360,""18140",39097,"Madison County, OH"
240,"361,""18140",39117,"Morrow County, OH"
241,"362,""18140",39129,"Pickaway County, OH"
242,"363,""18140",39159,"Union County, OH"
243,"365,""18580",48007,"Aransas County, TX"
244,"366,""18580",48355,"Nueces County, TX"
245,"369,""18700",41003,"Benton County, OR"
246,"371,""19060",24001,"Allegany County, MD"
247,"372,""19060",54057,"Mineral County, WV"
248,"389,""19140",13213,"Murray County, GA"
249,"390,""19140",13313,"Whitfield County, GA"
250,"392,""19180",17183,"Vermilion County, IL"
251,"394,""19260",51143,"Pittsylvania County, VA"
252,"395,""19260",51590,"Danville city, VA"
253,"397,""19340",17073,"Henry County, IL"
254,"398,""19340",17131,"Mercer County, IL"
255,"400,""19340",19163,"Scott County, IA"
256,"402,""19380",39057,"Greene County, OH"
257,"403,""19380",39109,"Miami County, OH"
258,"404,""19380",39113,"Montgomery County, OH"
259,"405,""19380",39135,"Preble County, OH"
260,"407,""19460",01079,"Lawrence County, AL"
261,"408,""19460",01103,"Morgan County, AL"
262,"410,""19500",17115,"Macon County, IL"
263,"412,""19660",12127,"Volusia County, FL"
264,"414,""19740",08001,"Adams County, CO"
265,"415,""19740",08005,"Arapahoe County, CO"
266,"416,""19740",08014,"Broomfield County, CO"
267,"418,""19740",08031,"Denver County, CO"
268,"419,""19740",08035,"Douglas County, CO"
269,"420,""19740",08039,"Elbert County, CO"
270,"421,""19740",08047,"Gilpin County, CO"
271,"422,""19740",08059,"Jefferson County, CO"
272,"423,""19740",08093,"Park County, CO"
273,"425,""19780",19049,"Dallas County, IA"
274,"426,""19780",19077,"Guthrie County, IA"
275,"427,""19780",19121,"Madison County, IA"
276,"428,""19780",19153,"Polk County, IA"
277,"429,""19780",19181,"Warren County, IA"
278,"440,""20020",01061,"Geneva County, AL"
279,"441,""20020",01067,"Henry County, AL"
280,"442,""20020",01069,"Houston County, AL"
281,"444,""20100",10001,"Kent County, DE"
282,"446,""20220",19061,"Dubuque County, IA"
283,"448,""20260",27017,"Carlton County, MN"
284,"450,""20260",55031,"Douglas County, WI"
285,"452,""20500",37037,"Chatham County, NC"
286,"453,""20500",37063,"Durham County, NC"
287,"454,""20500",37135,"Orange County, NC"
288,"455,""20500",37145,"Person County, NC"
289,"457,""20740",55017,"Chippewa County, WI"
290,"460,""20940",06025,"Imperial County, CA"
291,"462,""21060",21093,"Hardin County, KY"
292,"463,""21060",21123,"Larue County, KY"
293,"465,""21140",18039,"Elkhart County, IN"
294,"467,""21300",36015,"Chemung County, NY"
295,"471,""21500",42049,"Erie County, PA"
296,"473,""21660",41039,"Lane County, OR"
297,"475,""21780",18051,"Gibson County, IN"
298,"476,""21780",18129,"Posey County, IN"
299,"477,""21780",18163,"Vanderburgh County, IN"
300,"478,""21780",18173,"Warrick County, IN"
301,"479,""21780",21101,"Henderson County, KY"
302,"480,""21780",21233,"Webster County, KY"
303,"484,""21940",72037,"Ceiba Municipio, PR"
304,"485,""21940",72053,"Fajardo Municipio, PR"
305,"486,""21940",72089,"Luquillo Municipio, PR"
306,"488,""22020",27027,"Clay County, MN"
307,"489,""22020",38017,"Cass County, ND"
308,"493,""22180",37051,"Cumberland County, NC"
309,"494,""22180",37093,"Hoke County, NC"
310,"496,""22220",05007,"Benton County, AR"
311,"497,""22220",05087,"Madison County, AR"
312,"498,""22220",05143,"Washington County, AR"
313,"499,""22220",29119,"McDonald County, MO"
314,"501,""22380",04005,"Coconino County, AZ"
315,"503,""22420",26049,"Genesee County, MI"
316,"505,""22500",45031,"Darlington County, SC"
317,"506,""22500",45041,"Florence County, SC"
318,"508,""22520",01033,"Colbert County, AL"
319,"509,""22520",01077,"Lauderdale County, AL"
320,"513,""22660",08069,"Larimer County, CO"
321,"515,""22900",05033,"Crawford County, AR"
322,"516,""22900",05047,"Franklin County, AR"
323,"517,""22900",05131,"Sebastian County, AR"
324,"519,""22900",40135,"Sequoyah County, OK"
325,"521,""23020",12091,"Okaloosa County, FL"
326,"523,""23060",18003,"Allen County, IN"
327,"524,""23060",18179,"Wells County, IN"
328,"525,""23060",18183,"Whitley County, IN"
329,"527,""23420",06019,"Fresno County, CA"
330,"529,""23460",01055,"Etowah County, AL"
331,"531,""23540",12001,"Alachua County, FL"
332,"532,""23540",12041,"Gilchrist County, FL"
333,"534,""23580",13139,"Hall County, GA"
334,"536,""24020",36113,"Warren County, NY"
335,"537,""24020",36115,"Washington County, NY"
336,"539,""24140",37191,"Wayne County, NC"
337,"541,""24220",27119,"Polk County, MN"
338,"544,""24300",08077,"Mesa County, CO"
339,"546,""24340",26015,"Barry County, MI"
340,"547,""24340",26067,"Ionia County, MI"
341,"548,""24340",26081,"Kent County, MI"
342,"549,""24340",26123,"Newaygo County, MI"
343,"551,""24500",30013,"Cascade County, MT"
344,"553,""24540",08123,"Weld County, CO"
345,"555,""24580",55009,"Brown County, WI"
346,"556,""24580",55061,"Kewaunee County, WI"
347,"557,""24580",55083,"Oconto County, WI"
348,"559,""24660",37081,"Guilford County, NC"
349,"560,""24660",37151,"Randolph County, NC"
350,"561,""24660",37157,"Rockingham County, NC"
351,"563,""24780",37079,"Greene County, NC"
352,"564,""24780",37147,"Pitt County, NC"
353,"566,""24860",45045,"Greenville County, SC"
354,"567,""24860",45059,"Laurens County, SC"
355,"568,""24860",45077,"Pickens County, SC"
356,"570,""25020",72015,"Arroyo Municipio, PR"
357,"571,""25020",72057,"Guayama Municipio, PR"
358,"572,""25020",72109,"Patillas Municipio, PR"
359,"574,""25060",28045,"Hancock County, MS"
360,"575,""25060",28047,"Harrison County, MS"
361,"576,""25060",28131,"Stone County, MS"
362,"578,""25180",24043,"Washington County, MD"
363,"579,""25180",54003,"Berkeley County, WV"
364,"580,""25180",54065,"Morgan County, WV"
365,"582,""25260",06031,"Kings County, CA"
366,"584,""25420",42041,"Cumberland County, PA"
367,"585,""25420",42043,"Dauphin County, PA"
368,"586,""25420",42099,"Perry County, PA"
369,"588,""25500",51165,"Rockingham County, VA"
370,"589,""25500",51660,"Harrisonburg city, VA"
371,"591,""25540",09003,"Hartford County, CT"
372,"592,""25540",09007,"Middlesex County, CT"
373,"593,""25540",09013,"Tolland County, CT"
374,"595,""25620",28035,"Forrest County, MS"
375,"596,""25620",28073,"Lamar County, MS"
376,"597,""25620",28111,"Perry County, MS"
377,"599,""25860",37003,"Alexander County, NC"
378,"600,""25860",37023,"Burke County, NC"
379,"601,""25860",37027,"Caldwell County, NC"
380,"602,""25860",37035,"Catawba County, NC"
381,"604,""25980",13179,"Liberty County, GA"
382,"605,""25980",13183,"Long County, GA"
383,"607,""26100",26139,"Ottawa County, MI"
384,"609,""26180",15003,"Honolulu County, HI"
385,"611,""26300",05051,"Garland County, AR"
386,"613,""26380",22057,"Lafourche Parish, LA"
387,"614,""26380",22109,"Terrebonne Parish, LA"
388,"616,""26420",48015,"Austin County, TX"
389,"617,""26420",48039,"Brazoria County, TX"
390,"618,""26420",48071,"Chambers County, TX"
391,"620,""26420",48167,"Galveston County, TX"
392,"621,""26420",48201,"Harris County, TX"
393,"622,""26420",48291,"Liberty County, TX"
394,"623,""26420",48339,"Montgomery County, TX"
395,"625,""26420",48473,"Waller County, TX"
396,"627,""26580",21019,"Boyd County, KY"
397,"628,""26580",21089,"Greenup County, KY"
398,"629,""26580",39087,"Lawrence County, OH"
399,"630,""26580",54011,"Cabell County, WV"
400,"631,""26580",54099,"Wayne County, WV"
401,"633,""26620",01083,"Limestone County, AL"
402,"634,""26620",01089,"Madison County, AL"
403,"636,""26820",16019,"Bonneville County, ID"
404,"637,""26820",16051,"Jefferson County, ID"
405,"639,""26900",18011,"Boone County, IN"
406,"640,""26900",18013,"Brown County, IN"
407,"641,""26900",18057,"Hamilton County, IN"
408,"642,""26900",18059,"Hancock County, IN"
409,"643,""26900",18063,"Hendricks County, IN"
410,"644,""26900",18081,"Johnson County, IN"
411,"645,""26900",18097,"Marion County, IN"
412,"646,""26900",18109,"Morgan County, IN"
413,"647,""26900",18133,"Putnam County, IN"
414,"648,""26900",18145,"Shelby County, IN"
415,"650,""26980",19103,"Johnson County, IA"
416,"651,""26980",19183,"Washington County, IA"
417,"653,""27060",36109,"Tompkins County, NY"
418,"655,""27100",26075,"Jackson County, MI"
419,"657,""27140",28029,"Copiah County, MS"
420,"658,""27140",28049,"Hinds County, MS"
421,"659,""27140",28089,"Madison County, MS"
422,"660,""27140",28121,"Rankin County, MS"
423,"661,""27140",28127,"Simpson County, MS"
424,"663,""27180",47023,"Chester County, TN"
425,"664,""27180",47113,"Madison County, TN"
426,"666,""27260",12003,"Baker County, FL"
427,"667,""27260",12019,"Clay County, FL"
428,"668,""27260",12031,"Duval County, FL"
429,"669,""27260",12089,"Nassau County, FL"
430,"672,""27340",37133,"Onslow County, NC"
431,"674,""27500",55105,"Rock County, WI"
432,"676,""27620",29027,"Callaway County, MO"
433,"677,""27620",29051,"Cole County, MO"
434,"678,""27620",29135,"Moniteau County, MO"
435,"679,""27620",29151,"Osage County, MO"
436,"681,""27740",47019,"Carter County, TN"
437,"682,""27740",47171,"Unicoi County, TN"
438,"683,""27740",47179,"Washington County, TN"
439,"685,""27780",42021,"Cambria County, PA"
440,"687,""27860",05031,"Craighead County, AR"
441,"688,""27860",05111,"Poinsett County, AR"
442,"690,""27900",29097,"Jasper County, MO"
443,"691,""27900",29145,"Newton County, MO"
444,"693,""28020",26077,"Kalamazoo County, MI"
445,"696,""28100",17091,"Kankakee County, IL"
446,"698,""28140",20059,"Franklin County, KS"
447,"699,""28140",20091,"Johnson County, KS"
448,"700,""28140",20103,"Leavenworth County, KS"
449,"701,""28140",20107,"Linn County, KS"
450,"702,""28140",20121,"Miami County, KS"
451,"703,""28140",20209,"Wyandotte County, KS"
452,"704,""28140",29013,"Bates County, MO"
453,"705,""28140",29025,"Caldwell County, MO"
454,"706,""28140",29037,"Cass County, MO"
455,"707,""28140",29047,"Clay County, MO"
456,"708,""28140",29049,"Clinton County, MO"
457,"709,""28140",29095,"Jackson County, MO"
458,"710,""28140",29107,"Lafayette County, MO"
459,"711,""28140",29165,"Platte County, MO"
460,"712,""28140",29177,"Ray County, MO"
461,"714,""28420",53005,"Benton County, WA"
462,"715,""28420",53021,"Franklin County, WA"
463,"717,""28660",48027,"Bell County, TX"
464,"718,""28660",48099,"Coryell County, TX"
465,"719,""28660",48281,"Lampasas County, TX"
466,"721,""28700",47073,"Hawkins County, TN"
467,"722,""28700",47163,"Sullivan County, TN"
468,"723,""28700",51169,"Scott County, VA"
469,"724,""28700",51191,"Washington County, VA"
470,"725,""28700",51520,"Bristol city, VA"
471,"727,""28740",36111,"Ulster County, NY"
472,"729,""28940",47001,"Anderson County, TN"
473,"730,""28940",47009,"Blount County, TN"
474,"731,""28940",47093,"Knox County, TN"
475,"732,""28940",47105,"Loudon County, TN"
476,"733,""28940",47173,"Union County, TN"
477,"735,""29020",18067,"Howard County, IN"
478,"736,""29020",18159,"Tipton County, IN"
479,"738,""29100",27055,"Houston County, MN"
480,"741,""29140",18007,"Benton County, IN"
481,"742,""29140",18015,"Carroll County, IN"
482,"743,""29140",18157,"Tippecanoe County, IN"
483,"745,""29180",22055,"Lafayette Parish, LA"
484,"748,""29340",22019,"Calcasieu Parish, LA"
485,"749,""29340",22023,"Cameron Parish, LA"
486,"751,""29460",12105,"Polk County, FL"
487,"753,""29540",42071,"Lancaster County, PA"
488,"755,""29620",26037,"Clinton County, MI"
489,"756,""29620",26045,"Eaton County, MI"
490,"757,""29620",26065,"Ingham County, MI"
491,"759,""29700",48479,"Webb County, TX"
492,"763,""29820",32003,"Clark County, NV"
493,"765,""29940",20045,"Douglas County, KS"
494,"767,""30020",40031,"Comanche County, OK"
495,"769,""30140",42075,"Lebanon County, PA"
496,"772,""30300",53003,"Asotin County, WA"
497,"774,""30340",23001,"Androscoggin County, ME"
498,"776,""30460",21017,"Bourbon County, KY"
499,"777,""30460",21049,"Clark County, KY"
500,"778,""30460",21067,"Fayette County, KY"
501,"779,""30460",21113,"Jessamine County, KY"
502,"780,""30460",21209,"Scott County, KY"
503,"781,""30460",21239,"Woodford County, KY"
504,"783,""30620",39003,"Allen County, OH"
505,"785,""30700",31109,"Lancaster County, NE"
506,"786,""30700",31159,"Seward County, NE"
507,"788,""30780",05045,"Faulkner County, AR"
508,"789,""30780",05053,"Grant County, AR"
509,"790,""30780",05085,"Lonoke County, AR"
510,"791,""30780",05105,"Perry County, AR"
511,"792,""30780",05119,"Pulaski County, AR"
512,"793,""30780",05125,"Saline County, AR"
513,"795,""30860",16041,"Franklin County, ID"
514,"796,""30860",49005,"Cache County, UT"
515,"798,""30980",48183,"Gregg County, TX"
516,"799,""30980",48401,"Rusk County, TX"
517,"800,""30980",48459,"Upshur County, TX"
518,"802,""31020",53015,"Cowlitz County, WA"
519,"809,""31140",18019,"Clark County, IN"
520,"810,""31140",18043,"Floyd County, IN"
521,"811,""31140",18061,"Harrison County, IN"
522,"812,""31140",18175,"Washington County, IN"
523,"813,""31140",21029,"Bullitt County, KY"
524,"814,""31140",21103,"Henry County, KY"
525,"815,""31140",21111,"Jefferson County, KY"
526,"816,""31140",21163,"Meade County, KY"
527,"817,""31140",21179,"Nelson County, KY"
528,"818,""31140",21185,"Oldham County, KY"
529,"819,""31140",21211,"Shelby County, KY"
530,"820,""31140",21215,"Spencer County, KY"
531,"821,""31140",21223,"Trimble County, KY"
532,"823,""31180",48107,"Crosby County, TX"
533,"824,""31180",48303,"Lubbock County, TX"
534,"826,""31340",51009,"Amherst County, VA"
535,"827,""31340",51011,"Appomattox County, VA"
536,"828,""31340",51019,"Bedford County, VA"
537,"829,""31340",51031,"Campbell County, VA"
538,"830,""31340",51515,"Bedford city, VA"
539,"831,""31340",51680,"Lynchburg city, VA"
540,"833,""31420",13021,"Bibb County, GA"
541,"834,""31420",13079,"Crawford County, GA"
542,"835,""31420",13169,"Jones County, GA"
543,"836,""31420",13207,"Monroe County, GA"
544,"837,""31420",13289,"Twiggs County, GA"
545,"839,""31460",06039,"Madera County, CA"
546,"841,""31540",55021,"Columbia County, WI"
547,"842,""31540",55025,"Dane County, WI"
