,MSA,MSA_Name
149,2630,"                  Hot Springs, AR Metropolitan Statistical Area
"
150,2638,"                  Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area
"
151,2642,"                  Houston-Baytown-Sugar Land, TX Metropolitan Statistical Area
"
152,2658,"                  Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
"
153,2662,"                  Huntsville, AL Metropolitan Statistical Area
"
154,2682,"                  Idaho Falls, ID Metropolitan Statistical Area
"
155,2690,"                  Indianapolis, IN Metropolitan Statistical Area
"
156,2698,"                  Iowa City, IA Metropolitan Statistical Area
"
157,2706,"                  Ithaca, NY Metropolitan Statistical Area
"
158,2710,"                  Jackson, MI Metropolitan Statistical Area
"
159,2714,"                  Jackson, MS Metropolitan Statistical Area
"
160,2718,"                  Jackson, TN Metropolitan Statistical Area
"
161,2726,"                  Jacksonville, FL Metropolitan Statistical Area
"
162,2734,"                  Jacksonville, NC Metropolitan Statistical Area
"
163,2750,"                  Janesville, WI Metropolitan Statistical Area
"
164,2762,"                  Jefferson City, MO Metropolitan Statistical Area
"
165,2774,"                  Johnson City, TN Metropolitan Statistical Area
"
166,2778,"                  Johnstown, PA Metropolitan Statistical Area
"
167,2786,"                  Jonesboro, AR Metropolitan Statistical Area
"
168,2790,"                  Joplin, MO Metropolitan Statistical Area
"
169,2802,"                  Kalamazoo-Portage, MI Metropolitan Statistical Area
"
170,2810,"                  Kankakee-Bradley, IL Metropolitan Statistical Area
"
171,2814,"                  Kansas City, MO-KS Metropolitan Statistical Area
"
172,2842,"                  Kennewick-Richland-Pasco, WA Metropolitan Statistical Area
"
173,2866,"                  Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area
"
174,2870,"                  Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area
"
175,2874,"                  Kingston, NY Metropolitan Statistical Area
"
176,2894,"                  Knoxville, TN Metropolitan Statistical Area
"
177,2902,"                  Kokomo, IN Metropolitan Statistical Area
"
178,2910,"                  La Crosse, WI-MN Metropolitan Statistical Area
"
179,2914,"                  Lafayette, IN Metropolitan Statistical Area
"
180,2918,"                  Lafayette, LA Metropolitan Statistical Area
"
181,2934,"                  Lake Charles, LA Metropolitan Statistical Area
"
182,2946,"                  Lakeland, FL Metropolitan Statistical Area
"
183,2954,"                  Lancaster, PA Metropolitan Statistical Area
"
184,2962,"                  Lansing-East Lansing, MI Metropolitan Statistical Area
"
185,2970,"                  Laredo, TX Metropolitan Statistical Area
"
186,2974,"                  Las Cruces, NM Metropolitan Statistical Area
"
187,2982,"                  Las Vegas-Paradise, NV Metropolitan Statistical Area
"
188,2994,"                  Lawrence, KS Metropolitan Statistical Area
"
189,3002,"                  Lawton, OK Metropolitan Statistical Area
"
190,3014,"                  Lebanon, PA Metropolitan Statistical Area
"
191,3030,"                  Lewiston, ID-WA Metropolitan Statistical Area
"
192,3034,"                  Lewiston-Auburn, ME Metropolitan Statistical Area
"
193,3046,"                  Lexington-Fayette, KY Metropolitan Statistical Area
"
194,3062,"                  Lima, OH Metropolitan Statistical Area
"
195,3070,"                  Lincoln, NE Metropolitan Statistical Area
"
196,3078,"                  Little Rock-North Little Rock, AR Metropolitan Statistical Area
"
197,3086,"                  Logan, UT-ID Metropolitan Statistical Area
"
198,3098,"                  Longview, TX Metropolitan Statistical Area
"
199,3102,"                  Longview, WA Metropolitan Statistical Area
"
200,3110,"                  Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area
"
201,3114,"                  Louisville, KY-IN Metropolitan Statistical Area
"
202,3118,"                  Lubbock, TX Metropolitan Statistical Area
"
203,3134,"                  Lynchburg, VA Metropolitan Statistical Area
"
204,3142,"                  Macon, GA Metropolitan Statistical Area
"
205,3146,"                  Madera, CA Metropolitan Statistical Area
"
206,3154,"                  Madison, WI Metropolitan Statistical Area
"
207,3170,"                  Manchester-Nashua, NH Metropolitan Statistical Area
"
208,3190,"                  Mansfield, OH Metropolitan Statistical Area
"
209,3242,"                  Mayagüez, PR Metropolitan Statistical Area
"
210,3258,"                  McAllen-Edinburg-Pharr, TX Metropolitan Statistical Area
"
211,3278,"                  Medford, OR Metropolitan Statistical Area
"
212,3282,"                  Memphis, TN-MS-AR Metropolitan Statistical Area
"
213,3290,"                  Merced, CA Metropolitan Statistical Area
"
214,3310,"                  Miami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical Area
"
215,3314,"                  Michigan City-La Porte, IN Metropolitan Statistical Area
"
216,3326,"                  Midland, TX Metropolitan Statistical Area
"
217,3334,"                  Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
"
218,3346,"                  Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
"
219,3354,"                  Missoula, MT Metropolitan Statistical Area
"
220,3366,"                  Mobile, AL Metropolitan Statistical Area
"
221,3370,"                  Modesto, CA Metropolitan Statistical Area
"
222,3374,"                  Monroe, LA Metropolitan Statistical Area
"
223,3378,"                  Monroe, MI Metropolitan Statistical Area
"
224,3386,"                  Montgomery, AL Metropolitan Statistical Area
"
225,3406,"                  Morgantown, WV Metropolitan Statistical Area
"
226,3410,"                  Morristown, TN Metropolitan Statistical Area
"
227,3458,"                  Mount Vernon-Anacortes, WA Metropolitan Statistical Area
"
228,3462,"                  Muncie, IN Metropolitan Statistical Area
"
229,3474,"                  Muskegon-Norton Shores, MI Metropolitan Statistical Area
"
230,3482,"                  Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area
"
231,3490,"                  Napa, CA Metropolitan Statistical Area
"
232,3494,"                  Naples-Marco Island, FL Metropolitan Statistical Area
"
233,3498,"                  Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area
"
234,3530,"                  New Haven-Milford, CT Metropolitan Statistical Area
"
235,3538,"                  New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area
"
236,3562,"                  New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical Area
"
237,3566,"                  Niles-Benton Harbor, MI Metropolitan Statistical Area
"
238,3598,"                  Norwich-New London, CT Metropolitan Statistical Area
"
239,3610,"                  Ocala, FL Metropolitan Statistical Area
"
240,3614,"                  Ocean City, NJ Metropolitan Statistical Area
"
241,3622,"                  Odessa, TX Metropolitan Statistical Area
"
242,3626,"                  Ogden-Clearfield, UT Metropolitan Statistical Area
"
243,3642,"                  Oklahoma City, OK Metropolitan Statistical Area
"
244,3650,"                  Olympia, WA Metropolitan Statistical Area
"
245,3654,"                  Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
"
246,3674,"                  Orlando, FL Metropolitan Statistical Area
"
247,3678,"                  Oshkosh-Neenah, WI Metropolitan Statistical Area
"
248,3698,"                  Owensboro, KY Metropolitan Statistical Area
"
249,3710,"                  Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area
"
250,3734,"                  Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area
"
251,3746,"                  Panama City-Lynn Haven, FL Metropolitan Statistical Area
"
252,3762,"                  Parkersburg-Marietta, WV-OH Metropolitan Statistical Area
"
253,3770,"                  Pascagoula, MS Metropolitan Statistical Area
"
254,3786,"                  Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area
"
255,3790,"                  Peoria, IL Metropolitan Statistical Area
"
256,3798,"                  Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
"
257,3806,"                  Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area
"
258,3822,"                  Pine Bluff, AR Metropolitan Statistical Area
"
259,3830,"                  Pittsburgh, PA Metropolitan Statistical Area
"
260,3834,"                  Pittsfield, MA Metropolitan Statistical Area
"
261,3854,"                  Pocatello, ID Metropolitan Statistical Area
"
262,3866,"                  Ponce, PR Metropolitan Statistical Area
"
263,3886,"                  Portland-South Portland-Biddeford, ME Metropolitan Statistical Area
"
264,3890,"                  Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area
"
